country,model,bin,mean_predicted_probability,observed_probability,n
Gabon_DHS_2019_2021,LogReg,1,0.5150627978549271,0.5531914893617021,94
Gabon_DHS_2019_2021,LogReg,2,0.5779203191302126,0.6344086021505376,93
Gabon_DHS_2019_2021,LogReg,3,0.6215387568997571,0.6021505376344086,93
Gabon_DHS_2019_2021,LogReg,4,0.6570495070528771,0.5806451612903226,93
Gabon_DHS_2019_2021,LogReg,5,0.6828721231960757,0.6989247311827957,93
Gabon_DHS_2019_2021,LogReg,6,0.7026878603962672,0.6666666666666666,93
Gabon_DHS_2019_2021,LogReg,7,0.7235559035146354,0.8279569892473119,93
Gabon_DHS_2019_2021,LogReg,8,0.7472341084505262,0.7741935483870968,93
Gabon_DHS_2019_2021,LogReg,9,0.7749299370232681,0.7741935483870968,93
Gabon_DHS_2019_2021,LogReg,10,0.8164443458567727,0.7978723404255319,94
Gabon_DHS_2019_2021,LightGBM,1,0.38940301474745126,0.5425531914893617,94
Gabon_DHS_2019_2021,LightGBM,2,0.5455261098750744,0.5376344086021505,93
Gabon_DHS_2019_2021,LightGBM,3,0.6142946673580283,0.6129032258064516,93
Gabon_DHS_2019_2021,LightGBM,4,0.6659469712589172,0.7526881720430108,93
Gabon_DHS_2019_2021,LightGBM,5,0.7149112070522129,0.7096774193548387,93
Gabon_DHS_2019_2021,LightGBM,6,0.7579745706532915,0.6989247311827957,93
Gabon_DHS_2019_2021,LightGBM,7,0.7900033966375796,0.7096774193548387,93
Gabon_DHS_2019_2021,LightGBM,8,0.8272861634308417,0.7526881720430108,93
Gabon_DHS_2019_2021,LightGBM,9,0.8725068568196147,0.7526881720430108,93
Gabon_DHS_2019_2021,LightGBM,10,0.9175942079968317,0.8404255319148937,94
Gabon_DHS_2019_2021,XGBoost,1,0.46982696652412415,0.5212765957446809,94
Gabon_DHS_2019_2021,XGBoost,2,0.5890002250671387,0.5806451612903226,93
Gabon_DHS_2019_2021,XGBoost,3,0.6395974159240723,0.5806451612903226,93
Gabon_DHS_2019_2021,XGBoost,4,0.6771796941757202,0.6666666666666666,93
