model,country,feature,importance
LogReg,Gabon_DHS_2019_2021,hw1,0.18730611480481346
LogReg,Gabon_DHS_2019_2021,b4,0.03698129863083149
LogReg,Gabon_DHS_2019_2021,h31,0.039869005016929235
LogReg,Gabon_DHS_2019_2021,hw70,0.1539195569731304
LogReg,Gabon_DHS_2019_2021,v012,0.07974842556402956
LogReg,Gabon_DHS_2019_2021,v212,0.0476202897938869
LogReg,Gabon_DHS_2019_2021,hw72,0.0253683759116097
LogReg,Gabon_DHS_2019_2021,v190,0.07427649702010483
LogReg,Gabon_DHS_2019_2021,v040,0.10884686571320042
LogReg,Gabon_DHS_2019_2021,h22,0.07946883041536032
LogReg,Gabon_DHS_2019_2021,h11,0.00526021403335672
LogReg,Gabon_DHS_2019_2021,h43,0.027830945469578837
LogReg,Gabon_DHS_2019_2021,h34,0.011144452169516794
LogReg,Gabon_DHS_2019_2021,v191,0.114969621340186
LogReg,Gabon_DHS_2019_2021,v113,0.061076630125126964
LogReg,Gabon_DHS_2019_2021,v116,0.02329131984295224
LogReg,Gabon_DHS_2019_2021,v106,0.05168771358337956
LogReg,Gabon_DHS_2019_2021,v025,0.04376809563560691
LogReg,Gabon_DHS_2019_2021,v201,0.07273035737159238
LogReg,Gabon_DHS_2019_2021,m13,0.026265805492296256
LogReg,Gabon_DHS_2019_2021,v463z,0.003848753102289492
LogReg,Gabon_DHS_2019_2021,v151,0.02699302883891677
LightGBM,Gabon_DHS_2019_2021,hw1,0.23328936325548458
LightGBM,Gabon_DHS_2019_2021,b4,0.023900178836109166
LightGBM,Gabon_DHS_2019_2021,h31,0.019246215662902456
LightGBM,Gabon_DHS_2019_2021,hw70,0.2220259536427468
LightGBM,Gabon_DHS_2019_2021,v012,0.0801889347166511
LightGBM,Gabon_DHS_2019_2021,v212,0.08052954214031567
LightGBM,Gabon_DHS_2019_2021,hw72,0.09124623235456603
LightGBM,Gabon_DHS_2019_2021,v190,0.0032712562884119633
LightGBM,Gabon_DHS_2019_2021,v040,0.12208111874143401
LightGBM,Gabon_DHS_2019_2021,h22,0.11743348834852801
LightGBM,Gabon_DHS_2019_2021,h11,0.011250642457617518
LightGBM,Gabon_DHS_2019_2021,h43,0.022207208430429427
LightGBM,Gabon_DHS_2019_2021,h34,0.010990831752950937
LightGBM,Gabon_DHS_2019_2021,v191,0.19032666528424927
LightGBM,Gabon_DHS_2019_2021,v113,0.05613403074613427
LightGBM,Gabon_DHS_2019_2021,v116,0.028810883238331225
LightGBM,Gabon_DHS_2019_2021,v106,0.024252208599583342
LightGBM,Gabon_DHS_2019_2021,v025,0.046190023972785196
LightGBM,Gabon_DHS_2019_2021,v201,0.10070682913189713
LightGBM,Gabon_DHS_2019_2021,m13,0.020089330650487083
LightGBM,Gabon_DHS_2019_2021,v463z,0.014235762266778154
LightGBM,Gabon_DHS_2019_2021,v151,0.024558313217865984
XGBoost,Gabon_DHS_2019_2021,hw1,0.21873904764652252
XGBoost,Gabon_DHS_2019_2021,b4,0.007828859612345695
XGBoost,Gabon_DHS_2019_2021,h31,0.018644293770194054
XGBoost,Gabon_DHS_2019_2021,hw70,0.19696825742721558
XGBoost,Gabon_DHS_2019_2021,v012,0.04026614874601364
XGBoost,Gabon_DHS_2019_2021,v212,0.0641249269247055
XGBoost,Gabon_DHS_2019_2021,hw72,0.041253428906202316
XGBoost,Gabon_DHS_2019_2021,v190,0.0019587876740843058
XGBoost,Gabon_DHS_2019_2021,v040,0.08172310888767242
XGBoost,Gabon_DHS_2019_2021,h22,0.1013663113117218
XGBoost,Gabon_DHS_2019_2021,h11,0.0029527146834880114
XGBoost,Gabon_DHS_2019_2021,h43,0.010386900044977665
XGBoost,Gabon_DHS_2019_2021,h34,0.0029964663553982973
XGBoost,Gabon_DHS_2019_2021,v191,0.19644078612327576
XGBoost,Gabon_DHS_2019_2021,v113,0.024050384759902954
XGBoost,Gabon_DHS_2019_2021,v116,0.010312280617654324
XGBoost,Gabon_DHS_2019_2021,v106,0.014467653818428516
XGBoost,Gabon_DHS_2019_2021,v025,0.016412945464253426
XGBoost,Gabon_DHS_2019_2021,v201,0.05434008687734604
XGBoost,Gabon_DHS_2019_2021,m13,0.008268950507044792
XGBoost,Gabon_DHS_2019_2021,v463z,0.006857090163975954
XGBoost,Gabon_DHS_2019_2021,v151,0.006412002258002758
TabPFN,Gabon_DHS_2019_2021,hw1,0.0003200643457524466
TabPFN,Gabon_DHS_2019_2021,b4,-0.00015624331005132942
TabPFN,Gabon_DHS_2019_2021,h31,-0.0012306602354149154
TabPFN,Gabon_DHS_2019_2021,hw70,0.0012345159844339814
TabPFN,Gabon_DHS_2019_2021,v012,0.00013754981880551576
TabPFN,Gabon_DHS_2019_2021,v212,-0.0007747397400211797
TabPFN,Gabon_DHS_2019_2021,hw72,0.005213363784312608
TabPFN,Gabon_DHS_2019_2021,v190,-0.0027312588307527143
TabPFN,Gabon_DHS_2019_2021,v040,0.00267197345930128
TabPFN,Gabon_DHS_2019_2021,h22,-0.0019855228378339307
TabPFN,Gabon_DHS_2019_2021,h11,0.0008319047546943903
TabPFN,Gabon_DHS_2019_2021,h43,0.00022008190707978326
TabPFN,Gabon_DHS_2019_2021,h34,0.0016152494156218777
TabPFN,Gabon_DHS_2019_2021,v191,-0.00043891974698115897
TabPFN,Gabon_DHS_2019_2021,v113,-0.0015526482543569697
TabPFN,Gabon_DHS_2019_2021,v116,-0.00026274696729853273
TabPFN,Gabon_DHS_2019_2021,v106,-0.0005288006488184616
TabPFN,Gabon_DHS_2019_2021,v025,0.0026179535768008134
TabPFN,Gabon_DHS_2019_2021,v201,0.0032660981894710563
TabPFN,Gabon_DHS_2019_2021,m13,0.00021328676457263996
TabPFN,Gabon_DHS_2019_2021,v463z,5.68055434503556e-05
TabPFN,Gabon_DHS_2019_2021,v151,-0.0004109135813944231
LogReg,Malawi_DHS_2024,hw1,0.5101288617444196
LogReg,Malawi_DHS_2024,b4,0.07809134769942024
LogReg,Malawi_DHS_2024,h31,0.03232317976710024
LogReg,Malawi_DHS_2024,hw70,0.08321171256926674
LogReg,Malawi_DHS_2024,v012,0.1295412337346798
LogReg,Malawi_DHS_2024,v212,0.07337403376250404
LogReg,Malawi_DHS_2024,hw72,0.024087141068007228
LogReg,Malawi_DHS_2024,v190,0.08528541287394713
LogReg,Malawi_DHS_2024,v040,0.15403628874099645
LogReg,Malawi_DHS_2024,h22,0.12608576507843183
LogReg,Malawi_DHS_2024,h11,0.06970573832729231
LogReg,Malawi_DHS_2024,h43,0.01854248503419059
LogReg,Malawi_DHS_2024,h34,0.03435101138210238
LogReg,Malawi_DHS_2024,v191,0.08130174308437338
LogReg,Malawi_DHS_2024,v113,0.029202168145424222
LogReg,Malawi_DHS_2024,v116,0.0008737112736562938
LogReg,Malawi_DHS_2024,v106,0.05365567307574831
LogReg,Malawi_DHS_2024,v025,0.015473607776270059
LogReg,Malawi_DHS_2024,v201,0.06040089318584902
LogReg,Malawi_DHS_2024,m13,0.010900504457991556
LogReg,Malawi_DHS_2024,v463z,0.01307205346525357
LogReg,Malawi_DHS_2024,v151,0.01873753999498865
LightGBM,Malawi_DHS_2024,hw1,0.5852238578755885
LightGBM,Malawi_DHS_2024,b4,0.04707244396081858
LightGBM,Malawi_DHS_2024,h31,0.013261482837723548
LightGBM,Malawi_DHS_2024,hw70,0.10039102645185936
LightGBM,Malawi_DHS_2024,v012,0.08660974436967435
LightGBM,Malawi_DHS_2024,v212,0.05981993097731042
LightGBM,Malawi_DHS_2024,hw72,0.05806683192433825
LightGBM,Malawi_DHS_2024,v190,0.015594546646272762
LightGBM,Malawi_DHS_2024,v040,0.154369584566443
LightGBM,Malawi_DHS_2024,h22,0.08810486230937958
LightGBM,Malawi_DHS_2024,h11,0.04530019528610104
LightGBM,Malawi_DHS_2024,h43,0.01241512169176756
LightGBM,Malawi_DHS_2024,h34,0.0332031562813127
LightGBM,Malawi_DHS_2024,v191,0.06744525880410654
LightGBM,Malawi_DHS_2024,v113,0.03616156281694258
LightGBM,Malawi_DHS_2024,v116,0.045758754104064166
LightGBM,Malawi_DHS_2024,v106,0.02090600473260982
LightGBM,Malawi_DHS_2024,v025,0.009999040235836157
LightGBM,Malawi_DHS_2024,v201,0.018861998754242045
LightGBM,Malawi_DHS_2024,m13,0.018079268986953268
LightGBM,Malawi_DHS_2024,v463z,0.007340684279681816
LightGBM,Malawi_DHS_2024,v151,0.01823108582935233
XGBoost,Malawi_DHS_2024,hw1,0.5189754366874695
XGBoost,Malawi_DHS_2024,b4,0.03600357845425606
XGBoost,Malawi_DHS_2024,h31,0.0
XGBoost,Malawi_DHS_2024,hw70,0.07003558427095413
XGBoost,Malawi_DHS_2024,v012,0.05717053264379501
XGBoost,Malawi_DHS_2024,v212,0.020516546443104744
XGBoost,Malawi_DHS_2024,hw72,0.014433283358812332
XGBoost,Malawi_DHS_2024,v190,0.003836578456684947
XGBoost,Malawi_DHS_2024,v040,0.10890031605958939
XGBoost,Malawi_DHS_2024,h22,0.06954702734947205
XGBoost,Malawi_DHS_2024,h11,0.03943889960646629
XGBoost,Malawi_DHS_2024,h43,0.0010550337610766292
XGBoost,Malawi_DHS_2024,h34,0.02338016778230667
XGBoost,Malawi_DHS_2024,v191,0.042813681066036224
XGBoost,Malawi_DHS_2024,v113,0.016369502991437912
XGBoost,Malawi_DHS_2024,v116,0.01485753059387207
XGBoost,Malawi_DHS_2024,v106,0.002483271062374115
XGBoost,Malawi_DHS_2024,v025,0.0029952239710837603
XGBoost,Malawi_DHS_2024,v201,0.0011472497135400772
XGBoost,Malawi_DHS_2024,m13,0.0024116162676364183
XGBoost,Malawi_DHS_2024,v463z,0.0038373898714780807
XGBoost,Malawi_DHS_2024,v151,0.0016462452476844192
TabPFN,Malawi_DHS_2024,hw1,0.10100520498201346
TabPFN,Malawi_DHS_2024,b4,-0.006893931199901093
TabPFN,Malawi_DHS_2024,h31,0.002006666886695907
TabPFN,Malawi_DHS_2024,hw70,0.007156247446934216
TabPFN,Malawi_DHS_2024,v012,-0.004579776109170708
TabPFN,Malawi_DHS_2024,v212,-0.0005675916932169622
TabPFN,Malawi_DHS_2024,hw72,-0.0013682393256497782
TabPFN,Malawi_DHS_2024,v190,0.0024833253635471175
TabPFN,Malawi_DHS_2024,v040,-0.0021513434956995426
TabPFN,Malawi_DHS_2024,h22,-0.0009241729672428533
TabPFN,Malawi_DHS_2024,h11,0.0010942128494505043
TabPFN,Malawi_DHS_2024,h43,-0.0005099490093436687
TabPFN,Malawi_DHS_2024,h34,-0.0018132189521369523
TabPFN,Malawi_DHS_2024,v191,-0.003108379416342588
TabPFN,Malawi_DHS_2024,v113,0.002431869212453375
TabPFN,Malawi_DHS_2024,v116,-0.005247318154395608
TabPFN,Malawi_DHS_2024,v106,-0.0014961542057253085
TabPFN,Malawi_DHS_2024,v025,-0.00225188495120896
TabPFN,Malawi_DHS_2024,v201,-0.008031113345486608
TabPFN,Malawi_DHS_2024,m13,-0.00046856515121032063
TabPFN,Malawi_DHS_2024,v463z,-0.002323209707611862
TabPFN,Malawi_DHS_2024,v151,0.0012418748990912886
LogReg,Rwanda_DHS_2019_2020,hw1,0.3003189031531846
LogReg,Rwanda_DHS_2019_2020,b4,0.005382477382523393
LogReg,Rwanda_DHS_2019_2020,h31,0.02290743270175869
LogReg,Rwanda_DHS_2019_2020,hw70,0.03673753294521485
LogReg,Rwanda_DHS_2019_2020,v012,0.05827686752000109
LogReg,Rwanda_DHS_2019_2020,v212,0.015711917068909016
LogReg,Rwanda_DHS_2019_2020,hw72,0.016921196153473653
LogReg,Rwanda_DHS_2019_2020,v190,0.11735634507630768
LogReg,Rwanda_DHS_2019_2020,v040,0.07885220706887049
LogReg,Rwanda_DHS_2019_2020,h22,0.03863005354149295
LogReg,Rwanda_DHS_2019_2020,h11,0.027149179394777852
LogReg,Rwanda_DHS_2019_2020,h43,0.07374750127887456
LogReg,Rwanda_DHS_2019_2020,h34,0.038799757102775084
LogReg,Rwanda_DHS_2019_2020,v191,0.0011263467666697427
LogReg,Rwanda_DHS_2019_2020,v113,0.04184103384893606
LogReg,Rwanda_DHS_2019_2020,v116,0.0040645553458413565
LogReg,Rwanda_DHS_2019_2020,v106,0.011820687200556337
LogReg,Rwanda_DHS_2019_2020,v025,0.0017902204094024702
LogReg,Rwanda_DHS_2019_2020,v201,0.024493431674740863
LogReg,Rwanda_DHS_2019_2020,m13,0.002832796459621611
LogReg,Rwanda_DHS_2019_2020,v463z,0.0002694116826890073
LogReg,Rwanda_DHS_2019_2020,v151,0.026380919783216314
LightGBM,Rwanda_DHS_2019_2020,hw1,0.43932314971759995
LightGBM,Rwanda_DHS_2019_2020,b4,0.02655641085477967
LightGBM,Rwanda_DHS_2019_2020,h31,0.024265600617312564
LightGBM,Rwanda_DHS_2019_2020,hw70,0.10909529749742997
LightGBM,Rwanda_DHS_2019_2020,v012,0.07273615713343641
LightGBM,Rwanda_DHS_2019_2020,v212,0.0613026064109895
LightGBM,Rwanda_DHS_2019_2020,hw72,0.08881256244020058
LightGBM,Rwanda_DHS_2019_2020,v190,0.012700403172122884
LightGBM,Rwanda_DHS_2019_2020,v040,0.17130282401709013
LightGBM,Rwanda_DHS_2019_2020,h22,0.05125402923552823
LightGBM,Rwanda_DHS_2019_2020,h11,0.029977398380515923
LightGBM,Rwanda_DHS_2019_2020,h43,0.09609751674010779
LightGBM,Rwanda_DHS_2019_2020,h34,0.06674157432169103
LightGBM,Rwanda_DHS_2019_2020,v191,0.13535264621887882
LightGBM,Rwanda_DHS_2019_2020,v113,0.056736022545311335
LightGBM,Rwanda_DHS_2019_2020,v116,0.035788653152181465
LightGBM,Rwanda_DHS_2019_2020,v106,0.02142276067304143
LightGBM,Rwanda_DHS_2019_2020,v025,0.015595869103421056
LightGBM,Rwanda_DHS_2019_2020,v201,0.05008455300869202
LightGBM,Rwanda_DHS_2019_2020,m13,0.019662486200681104
LightGBM,Rwanda_DHS_2019_2020,v463z,0.0
LightGBM,Rwanda_DHS_2019_2020,v151,0.027382458839979407
XGBoost,Rwanda_DHS_2019_2020,hw1,0.42172229290008545
XGBoost,Rwanda_DHS_2019_2020,b4,0.011751782149076462
XGBoost,Rwanda_DHS_2019_2020,h31,0.01666007563471794
XGBoost,Rwanda_DHS_2019_2020,hw70,0.1338392049074173
XGBoost,Rwanda_DHS_2019_2020,v012,0.07150106877088547
XGBoost,Rwanda_DHS_2019_2020,v212,0.06261222064495087
XGBoost,Rwanda_DHS_2019_2020,hw72,0.1396360546350479
XGBoost,Rwanda_DHS_2019_2020,v190,0.0010086259571835399
XGBoost,Rwanda_DHS_2019_2020,v040,0.20943541824817657
XGBoost,Rwanda_DHS_2019_2020,h22,0.059602536261081696
XGBoost,Rwanda_DHS_2019_2020,h11,0.021744851022958755
XGBoost,Rwanda_DHS_2019_2020,h43,0.08805281668901443
XGBoost,Rwanda_DHS_2019_2020,h34,0.0661439523100853
XGBoost,Rwanda_DHS_2019_2020,v191,0.1483057737350464
