country,shot,n_shot,n_test,model,accuracy,f1,sensitivity,specificity,auc
Bolivia_DHS_2008,0.01,23,2355,LogReg,0.6076433121019108,0.7558139534883721,0.9993011879804332,0.0010822510822510823,0.6111111111111112
Bolivia_DHS_2008,0.01,23,2355,LightGBM,0.6076433121019108,0.7559429477020603,1.0,0.0,0.5
Bolivia_DHS_2008,0.01,23,2355,XGBoost,0.6547770700636942,0.7502304147465437,0.8532494758909853,0.3474025974025974,0.6729673191937343
Bolivia_DHS_2008,0.01,23,2355,TabPFN,0.6008492569002123,0.7040302267002518,0.7812718378756115,0.32142857142857145,0.5939569398688895
Bolivia_DHS_2008,0.02,47,2331,LogReg,0.6074646074646075,0.755804643714972,1.0,0.0,0.6001451020345158
Bolivia_DHS_2008,0.02,47,2331,LightGBM,0.6083226083226083,0.6899830220713074,0.7175141242937854,0.43934426229508194,0.6213847982464265
Bolivia_DHS_2008,0.02,47,2331,XGBoost,0.6323466323466324,0.7033575631706472,0.7175141242937854,0.5005464480874317,0.6472584977308512
Bolivia_DHS_2008,0.02,47,2331,TabPFN,0.6173316173316173,0.703851261620186,0.748587570621469,0.41420765027322404,0.6416396529900281
Bolivia_DHS_2008,0.05,118,2260,LogReg,0.6075221238938053,0.755849160473438,1.0,0.0,0.634049649751899
Bolivia_DHS_2008,0.05,118,2260,LightGBM,0.6092920353982301,0.6701531565184908,0.6533139111434815,0.5411499436302142,0.6240722387221425
Bolivia_DHS_2008,0.05,118,2260,XGBoost,0.6159292035398231,0.6877697841726619,0.696285506190823,0.4915445321307779,0.6431821298336167
Bolivia_DHS_2008,0.05,118,2260,TabPFN,0.6070796460176991,0.6484560570071259,0.596504005826657,0.6234498308906427,0.650676889044719
Bolivia_DHS_2008,0.1,237,2141,LogReg,0.6076599719757123,0.7559558396281232,1.0,0.0,0.6317997145053256
Bolivia_DHS_2008,0.1,237,2141,LightGBM,0.6277440448388604,0.7178761061946902,0.7794004611837049,0.39285714285714285,0.6303447897221917
Bolivia_DHS_2008,0.1,237,2141,XGBoost,0.6618402615600186,0.7527322404371585,0.8470407378939278,0.375,0.6534488122689506
Bolivia_DHS_2008,0.1,237,2141,TabPFN,0.6679121905651565,0.7486744432661718,0.813989239046887,0.44166666666666665,0.6935992460012445
Bolivia_DHS_2008,0.2,475,1903,LogReg,0.6085128744088282,0.7562970232253844,1.0,0.002677376171352075,0.6962231857070728
Bolivia_DHS_2008,0.2,475,1903,LightGBM,0.648975302154493,0.7266775777414075,0.7681660899653979,0.464524765729585,0.6732408295233993
Bolivia_DHS_2008,0.2,475,1903,XGBoost,0.6726221755123489,0.7571150097465887,0.8399653979238755,0.41365461847389556,0.6809058610451032
Bolivia_DHS_2008,0.2,475,1903,TabPFN,0.6852338413032054,0.7659241891363814,0.8477508650519031,0.43373493975903615,0.7244884960835267
Bolivia_DHS_2008,0.35,832,1546,LogReg,0.6170763260025873,0.7591537835638731,0.9936102236421726,0.03459637561779242,0.7093406178889174
Bolivia_DHS_2008,0.35,832,1546,LightGBM,0.6410090556274256,0.71955533097524,0.7582534611288605,0.4596375617792422,0.6616787110968414
Bolivia_DHS_2008,0.35,832,1546,XGBoost,0.6707632600258733,0.7518283764017553,0.8210862619808307,0.4382207578253707,0.6885326147028017
Bolivia_DHS_2008,0.35,832,1546,TabPFN,0.684993531694696,0.7602166420482521,0.8221512247071352,0.4728171334431631,0.7191603812812186
Bolivia_DHS_2008,0.5,1189,1189,LogReg,0.6291000841042893,0.7620075553157043,0.9778393351800554,0.08993576017130621,0.7027321205075124
Bolivia_DHS_2008,0.5,1189,1189,LightGBM,0.6417157275021026,0.7230169050715215,0.7700831024930748,0.44325481798715205,0.6830241952226447
Bolivia_DHS_2008,0.5,1189,1189,XGBoost,0.6753574432296047,0.7556962025316456,0.8268698060941828,0.4411134903640257,0.7168198022386068
Bolivia_DHS_2008,0.5,1189,1189,TabPFN,0.6980656013456686,0.7691318327974277,0.8282548476454293,0.49678800856531047,0.7336419771393998
Bolivia_DHS_2008,0.7,1664,714,LogReg,0.6358543417366946,0.7605893186003683,0.9516129032258065,0.14642857142857144,0.6860269914417381
Bolivia_DHS_2008,0.7,1664,714,LightGBM,0.6596638655462185,0.735582154515778,0.7788018433179723,0.475,0.6883558262014484
Bolivia_DHS_2008,0.7,1664,714,XGBoost,0.6764705882352942,0.7529411764705882,0.8110599078341014,0.46785714285714286,0.6999917709019091
Bolivia_DHS_2008,0.7,1664,714,TabPFN,0.6890756302521008,0.7597402597402597,0.8087557603686636,0.5035714285714286,0.7254032258064517
Bolivia_DHS_2008,0.9,2140,238,LogReg,0.6470588235294118,0.7666666666666667,0.9517241379310345,0.17204301075268819,0.6934371523915461
Bolivia_DHS_2008,0.9,2140,238,LightGBM,0.634453781512605,0.7238095238095238,0.7862068965517242,0.3978494623655914,0.6614015572858731
Bolivia_DHS_2008,0.9,2140,238,XGBoost,0.6512605042016807,0.7430340557275542,0.8275862068965517,0.3763440860215054,0.6823136818687431
Bolivia_DHS_2008,0.9,2140,238,TabPFN,0.6932773109243697,0.7711598746081505,0.8482758620689655,0.45161290322580644,0.7423804226918798
