country,shot,n_shot,n_test,model,accuracy,f1,sensitivity,specificity,auc
Cameroon_DHS_2018,0.01,39,3948,LogReg,0.577001013171226,0.7285435630689207,0.9872246696035242,0.02205005959475566,0.5774771203394014
Cameroon_DHS_2018,0.01,39,3948,LightGBM,0.5749746707193516,0.7301383081376649,1.0,0.0,0.5
Cameroon_DHS_2018,0.01,39,3948,XGBoost,0.5987841945288754,0.6578833693304535,0.6709251101321586,0.50119189511323,0.6042009052102093
Cameroon_DHS_2018,0.01,39,3948,TabPFN,0.5995440729483282,0.6742221306408407,0.720704845814978,0.43563766388557806,0.611396118727455
Cameroon_DHS_2018,0.02,79,3908,LogReg,0.577021494370522,0.7248210421175295,0.9688473520249221,0.04695966285370259,0.5775682715089783
Cameroon_DHS_2018,0.02,79,3908,LightGBM,0.5913510747185261,0.6604295130767596,0.6911437472185136,0.4563515954244431,0.5980927945401548
Cameroon_DHS_2018,0.02,79,3908,XGBoost,0.6061924257932446,0.6920152091254753,0.7694704049844237,0.38531005418422637,0.6074383209990067
Cameroon_DHS_2018,0.02,79,3908,TabPFN,0.6082395087001023,0.6901436956081765,0.7587894971072541,0.4045755568934377,0.6206662063566192
Cameroon_DHS_2018,0.05,199,3788,LogReg,0.5836853220696938,0.722798382844085,0.9439853076216712,0.09627329192546584,0.5959487591898659
Cameroon_DHS_2018,0.05,199,3788,LightGBM,0.5958289334741288,0.6698296312270865,0.7130394857667585,0.4372670807453416,0.6088102937905309
Cameroon_DHS_2018,0.05,199,3788,XGBoost,0.6121964097148891,0.6909320429202609,0.7539026629935721,0.42049689440993787,0.6265372528218378
Cameroon_DHS_2018,0.05,199,3788,TabPFN,0.6156282998944034,0.7027358105349122,0.7901744719926538,0.3795031055900621,0.6348370777224532
Cameroon_DHS_2018,0.1,398,3589,LogReg,0.588464753413207,0.7223162248542959,0.9311682016480853,0.1251638269986894,0.6018030340474274
Cameroon_DHS_2018,0.1,398,3589,LightGBM,0.6062970186681527,0.6738979921532425,0.7077072224915172,0.4692005242463958,0.620955625198133
Cameroon_DHS_2018,0.1,398,3589,XGBoost,0.6174421844524938,0.6992332968236583,0.7736306349975763,0.40629095674967236,0.6315590358491273
Cameroon_DHS_2018,0.1,398,3589,TabPFN,0.6263583170799666,0.7108043993961614,0.7988366456616578,0.3931847968545216,0.6459562763767026
Cameroon_DHS_2018,0.2,797,3190,LogReg,0.5990595611285267,0.7260655386592418,0.9242093784078517,0.1592920353982301,0.6171573168887903
Cameroon_DHS_2018,0.2,797,3190,LightGBM,0.6043887147335423,0.6752444673185796,0.7153762268266085,0.45427728613569324,0.6114096080910241
Cameroon_DHS_2018,0.2,797,3190,XGBoost,0.6100313479623825,0.6932938856015779,0.7666303162486369,0.39823008849557523,0.6220919665576155
Cameroon_DHS_2018,0.2,797,3190,TabPFN,0.6210031347962383,0.7047619047619048,0.7868047982551799,0.3967551622418879,0.6458007627154083
Cameroon_DHS_2018,0.35,1395,2592,LogReg,0.6041666666666666,0.7192118226600985,0.8818791946308725,0.22867513611615245,0.6265648789875639
Cameroon_DHS_2018,0.35,1395,2592,LightGBM,0.6006944444444444,0.6733985484379931,0.7161073825503356,0.44464609800362975,0.6002411722432672
Cameroon_DHS_2018,0.35,1395,2592,XGBoost,0.6215277777777778,0.7070767393251717,0.7946308724832215,0.3874773139745917,0.6258200465291904
Cameroon_DHS_2018,0.35,1395,2592,TabPFN,0.6184413580246914,0.7043348281016443,0.7906040268456376,0.3856624319419238,0.6447267932617936
Cameroon_DHS_2018,0.5,1993,1994,LogReg,0.6083249749247743,0.7187612531508822,0.8708551483420593,0.2535377358490566,0.6381075274128224
Cameroon_DHS_2018,0.5,1993,1994,LightGBM,0.6158475426278837,0.6881107491856677,0.7373472949389179,0.4516509433962264,0.6188197668675294
Cameroon_DHS_2018,0.5,1993,1994,XGBoost,0.6163490471414242,0.700352526439483,0.7801047120418848,0.39504716981132076,0.6294535546116106
Cameroon_DHS_2018,0.5,1993,1994,TabPFN,0.6248746238716149,0.7041139240506329,0.7766143106457243,0.419811320754717,0.6438293366590931
Cameroon_DHS_2018,0.7,2790,1197,LogReg,0.5931495405179615,0.7032297379646557,0.8386627906976745,0.26129666011787817,0.6198228400420341
Cameroon_DHS_2018,0.7,2790,1197,LightGBM,0.5856307435254804,0.6671140939597315,0.7223837209302325,0.40078585461689586,0.6116444693196874
Cameroon_DHS_2018,0.7,2790,1197,XGBoost,0.6006683375104428,0.6888020833333334,0.7688953488372093,0.37328094302554027,0.6147970256316535
Cameroon_DHS_2018,0.7,2790,1197,TabPFN,0.6240601503759399,0.701195219123506,0.7674418604651163,0.4302554027504912,0.6335238954630602
Cameroon_DHS_2018,0.9,3588,399,LogReg,0.5839598997493735,0.6925925925925925,0.8165938864628821,0.27058823529411763,0.6211405086051889
Cameroon_DHS_2018,0.9,3588,399,LightGBM,0.5989974937343359,0.6875,0.7685589519650655,0.37058823529411766,0.5882096069868995
Cameroon_DHS_2018,0.9,3588,399,XGBoost,0.5839598997493735,0.6782945736434108,0.7641921397379913,0.3411764705882353,0.6025687130747496
Cameroon_DHS_2018,0.9,3588,399,TabPFN,0.5964912280701754,0.6836935166994106,0.759825327510917,0.3764705882352941,0.6332648343180066
