country,raw_total,processed_total,raw_male_total,raw_female_total,processed_male,processed_female,female_ratio_raw,female_ratio_processed,sex_ratio_processed,drop_pct,missing_rate,mean_age_months
Gabon_DHS_2019_2021,6376,4659,3296,3080,2404,2255,0.48306148055207027,0.48400944408671387,0.9380199667221298,26.929109159347554,0.02326492902936812,32.09502465262214
Malawi_DHS_2024,12312,4081,6152,6160,2031,2050,0.5003248862897985,0.5023278608184268,1.0093549975381586,66.85347628330085,0.029681557163099413,33.303084374203415
Rwanda_DHS_2019_2020,8092,3436,4095,3997,1736,1700,0.4939446366782007,0.4947613504074505,0.9792626728110599,57.53830944142363,0.015829832464442983,32.73872237359976
Sierra_Leone_DHS_2019,9899,3510,5047,4852,1795,1715,0.4901505202545712,0.4886039886039886,0.9554317548746518,64.54187291645621,0.016759568933481978,31.52895752895753
Haiti_DHS_2016-2017,6530,4934,3299,3231,2491,2443,0.49479326186830014,0.49513579246047834,0.9807306302689683,24.44104134762634,0.018928111947269167,32.88330190655772
Jordan_DHS_2023,9106,4373,4739,4367,2236,2137,0.479573907313859,0.48868053967528013,0.9557245080500895,51.97671864704591,0.11919983296712038,35.02779757662152
Armenia_DHS_2015-2016,1724,1361,931,793,730,631,0.4599767981438515,0.4636296840558413,0.8643835616438356,21.05568445475638,0.09963901223524903,33.25285605483625
Kyrgyz_Republic_DHS_2012,4363,3617,2244,2119,1847,1770,0.4856749942699977,0.4893558197401161,0.9583107742284787,17.098326839330735,0.01896839802382469,32.004364271166715
Liberia_DHS_2019_2020,5704,2154,2825,2879,1054,1100,0.5047335203366059,0.510677808727948,1.0436432637571158,62.23702664796634,0.018872875539945905,31.8740234375
Bolivia_DHS_2008,8605,2378,4430,4175,1254,1124,0.4851830331202789,0.4726661059714045,0.8963317384370016,72.36490412550843,0.107964310527663,32.42900696864111
Congo_DRC_DHS_2021_2022,24000,9365,12208,11792,4778,4587,0.49133333333333334,0.4898024559530165,0.960025115110925,60.979166666666664,0.03451333596415887,33.06931792934903
Guatemala_DHS_2014_2015,12440,10385,6445,5995,5335,5050,0.48191318327974275,0.4862782859894078,0.9465791940018744,16.519292604501608,0.01681354796843273,33.38670271352758
Ghana_DHS_2022,9353,3882,4804,4549,1966,1916,0.4863680102640864,0.4935600206079341,0.9745676500508647,58.494600662888914,0.025054319826176553,31.542223409941208
Gambia_DHS_2019_2020,8362,3274,4364,3998,1717,1557,0.4781152834250179,0.47556505803298715,0.906814210832848,60.846687395359965,0.02254920188042814,32.33884297520661
Cameroon_DHS_2018,9733,3987,4938,4795,2004,1983,0.49265385800883593,0.49736644093303234,0.9895209580838323,59.03626836535498,0.02497246485861659,32.461176470588235
Mali_DHS_2023_2024,15631,6341,7883,7748,3218,3123,0.4956816582432346,0.49250906797035165,0.9704785581106277,59.43317765977864,0.032864107293459406,33.063095629313175
