country,shot,n_shot,n_test,model,accuracy,f1,sensitivity,specificity,auc
Guatemala_DHS_2014_2015,0.01,103,10282,LogReg,0.6602801011476367,0.0,0.0,1.0,0.5569643590360234
Guatemala_DHS_2014_2015,0.01,103,10282,LightGBM,0.6366465668157946,0.3748326639892905,0.32064128256513025,0.7992340550891147,0.6049406643179253
Guatemala_DHS_2014_2015,0.01,103,10282,XGBoost,0.6532775724567205,0.30056896213458895,0.21929573432579444,0.8765650316688761,0.6053484196261133
Guatemala_DHS_2014_2015,0.01,103,10282,TabPFN,0.6678661738961291,0.07276676622318762,0.03836243916404237,0.9917513624981588,0.6540977922007768
Guatemala_DHS_2014_2015,0.02,207,10178,LogReg,0.6602475928473177,0.0,0.0,1.0,0.5703687446638575
Guatemala_DHS_2014_2015,0.02,207,10178,LightGBM,0.6486539595205345,0.3661822048918823,0.29872758820127243,0.8287202380952381,0.6116740382894048
Guatemala_DHS_2014_2015,0.02,207,10178,XGBoost,0.6626056199646296,0.2643530419880034,0.17842683632157316,0.9117559523809524,0.6376509181607866
Guatemala_DHS_2014_2015,0.02,207,10178,TabPFN,0.6783258007467086,0.2252721249408424,0.13765182186234817,0.9565476190476191,0.6910086428296016
Guatemala_DHS_2014_2015,0.05,519,9866,LogReg,0.6608554632069734,0.00357355568790947,0.0017899761336515514,1.0,0.5895896244768932
Guatemala_DHS_2014_2015,0.05,519,9866,LightGBM,0.6566997770119603,0.3770461651646128,0.3057875894988067,0.8372735646300277,0.6255682409394708
Guatemala_DHS_2014_2015,0.05,519,9866,XGBoost,0.6692681937968782,0.27375918094814156,0.183472553699284,0.9192508443352778,0.6375764096863521
Guatemala_DHS_2014_2015,0.05,519,9866,TabPFN,0.685080072977904,0.24385495254319786,0.14946300715990454,0.9607000307031011,0.6950168555627937
Guatemala_DHS_2014_2015,0.1,1038,9347,LogReg,0.6635284048357761,0.02661714639430517,0.013543307086614173,0.9978937135450421,0.6345508034762019
Guatemala_DHS_2014_2015,0.1,1038,9347,LightGBM,0.6713383973467423,0.4355016538037486,0.3732283464566929,0.8246921581335062,0.6700270972285302
Guatemala_DHS_2014_2015,0.1,1038,9347,XGBoost,0.694019471488178,0.3984013462347497,0.29826771653543305,0.8976020738820479,0.6920329555370712
Guatemala_DHS_2014_2015,0.1,1038,9347,TabPFN,0.7113512356905959,0.4586677367576244,0.36,0.8920933246921582,0.7224970019544705
Guatemala_DHS_2014_2015,0.2,2077,8308,LogReg,0.673567645642754,0.11833550065019506,0.06449326718639263,0.986875683558148,0.674916539051921
Guatemala_DHS_2014_2015,0.2,2077,8308,LightGBM,0.6996870486278286,0.4811811187357039,0.4099929128277817,0.8487057965730952,0.6987997668441776
Guatemala_DHS_2014_2015,0.2,2077,8308,XGBoost,0.7081126624939817,0.4380069524913094,0.33486888731396175,0.9001093693036821,0.711494699606472
Guatemala_DHS_2014_2015,0.2,2077,8308,TabPFN,0.7252046220510352,0.5143586470963625,0.4284195605953225,0.8778709442216551,0.7316416596023174
Guatemala_DHS_2014_2015,0.35,3634,6751,LogReg,0.6852318175085172,0.2353364519611371,0.14260793720017445,0.9643337819650067,0.6892504681480317
Guatemala_DHS_2014_2015,0.35,3634,6751,LightGBM,0.7166345726559028,0.5027293995321029,0.4217182730047972,0.8683266038582323,0.715722084710973
Guatemala_DHS_2014_2015,0.35,3634,6751,XGBoost,0.7175233298770552,0.4701305918310642,0.3689489751417357,0.8968147151188874,0.7190022024626025
Guatemala_DHS_2014_2015,0.35,3634,6751,TabPFN,0.7270034069026811,0.5234031549004396,0.44134321849105973,0.8739344997756842,0.7309290940868467
Guatemala_DHS_2014_2015,0.5,5192,5193,LogReg,0.6959368380512228,0.3101791175185671,0.20124716553287983,0.9504228638086906,0.6939211963583918
Guatemala_DHS_2014_2015,0.5,5192,5193,LightGBM,0.7175043327556326,0.5045592705167173,0.42346938775510207,0.868766404199475,0.72283805132824
Guatemala_DHS_2014_2015,0.5,5192,5193,XGBoost,0.7188523011746581,0.47595118449389806,0.3758503401360544,0.8953047535724701,0.7227185226185351
Guatemala_DHS_2014_2015,0.5,5192,5193,TabPFN,0.7259772771037936,0.5138366928595832,0.42630385487528344,0.8801399825021873,0.7317952650098632
Guatemala_DHS_2014_2015,0.7,7269,3116,LogReg,0.7066752246469833,0.3599439775910364,0.24268177525967893,0.9455517744287798,0.7097453454727243
Guatemala_DHS_2014_2015,0.7,7269,3116,LightGBM,0.727214377406932,0.5137299771167048,0.42398489140698775,0.8833252309188138,0.7291039188601716
Guatemala_DHS_2014_2015,0.7,7269,3116,XGBoost,0.7214377406931964,0.4789915966386555,0.37677053824362605,0.8988818667963053,0.7270409018148032
Guatemala_DHS_2014_2015,0.7,7269,3116,TabPFN,0.7297817715019256,0.5199543899657925,0.43059490084985835,0.8838113757899854,0.7399097395613128
Guatemala_DHS_2014_2015,0.9,9346,1039,LogReg,0.7093358999037536,0.41245136186770426,0.3002832861189802,0.9198250728862973,0.6944515564218403
Guatemala_DHS_2014_2015,0.9,9346,1039,LightGBM,0.7218479307025987,0.49913344887348354,0.40793201133144474,0.8833819241982507,0.731790814261763
Guatemala_DHS_2014_2015,0.9,9346,1039,XGBoost,0.7237728585178056,0.48841354723707664,0.3881019830028329,0.8965014577259475,0.7252991848297392
Guatemala_DHS_2014_2015,0.9,9346,1039,TabPFN,0.7295476419634264,0.5212947189097104,0.43342776203966005,0.8819241982507289,0.7356725774081385
