country,shot,n_shot,n_test,model,accuracy,f1,sensitivity,specificity,auc
Kyrgyz_Republic_DHS_2012,0.01,36,3581,LogReg,0.5448198827143256,0.33739837398373984,0.2633248730964467,0.7660847880299252,0.5614039140726863
Kyrgyz_Republic_DHS_2012,0.01,36,3581,LightGBM,0.5598994694219491,0.0,0.0,1.0,0.5
Kyrgyz_Republic_DHS_2012,0.01,36,3581,XGBoost,0.5719072884669086,0.4569606801275239,0.40926395939086296,0.6997506234413965,0.5839297694849171
Kyrgyz_Republic_DHS_2012,0.01,36,3581,TabPFN,0.5562691985478917,0.3392931392931393,0.25888324873096447,0.7900249376558603,0.5544063382153752
Kyrgyz_Republic_DHS_2012,0.02,72,3545,LogReg,0.5596614950634696,0.2633317602642756,0.17884615384615385,0.8589420654911839,0.5700833171865918
Kyrgyz_Republic_DHS_2012,0.02,72,3545,LightGBM,0.6025387870239775,0.5068253412670634,0.4641025641025641,0.7113350125944584,0.618488180585158
Kyrgyz_Republic_DHS_2012,0.02,72,3545,XGBoost,0.5712270803949224,0.45244956772334294,0.4025641025641026,0.7037783375314861,0.6025644254989344
Kyrgyz_Republic_DHS_2012,0.02,72,3545,TabPFN,0.568688293370945,0.3847082494969819,0.30641025641025643,0.7748110831234257,0.6006668604275657
Kyrgyz_Republic_DHS_2012,0.05,180,3437,LogReg,0.5661914460285132,0.03744351194318916,0.019167217448777262,0.9963617463617463,0.5958910509472307
Kyrgyz_Republic_DHS_2012,0.05,180,3437,LightGBM,0.5900494617398895,0.49298308744152575,0.4527428949107733,0.6980249480249481,0.6135867870005346
Kyrgyz_Republic_DHS_2012,0.05,180,3437,XGBoost,0.6086703520512075,0.5235565001771165,0.488433575677462,0.7032224532224532,0.6308063999736174
Kyrgyz_Republic_DHS_2012,0.05,180,3437,TabPFN,0.6069246435845214,0.5510136257892988,0.5479180436219432,0.6533264033264033,0.6477328159416725
Kyrgyz_Republic_DHS_2012,0.1,361,3256,LogReg,0.562960687960688,0.1788805539526832,0.10816468946266573,0.9204607789358201,0.5815965569816399
Kyrgyz_Republic_DHS_2012,0.1,361,3256,LightGBM,0.5823095823095823,0.5,0.47452896022330776,0.6670323642347779,0.5893079779616814
Kyrgyz_Republic_DHS_2012,0.1,361,3256,XGBoost,0.5924447174447175,0.5105127259313906,0.4829030006978367,0.6785518376302797,0.6110882922293606
Kyrgyz_Republic_DHS_2012,0.1,361,3256,TabPFN,0.5909090909090909,0.5092114959469418,0.48220516399162594,0.6763576522216127,0.6139512218649887
Kyrgyz_Republic_DHS_2012,0.2,723,2894,LogReg,0.5659986178299931,0.22277227722772278,0.141287284144427,0.9,0.6046310832025118
Kyrgyz_Republic_DHS_2012,0.2,723,2894,LightGBM,0.6002073255010366,0.5310093230644507,0.5141287284144427,0.6679012345679012,0.6237576797100607
Kyrgyz_Republic_DHS_2012,0.2,723,2894,XGBoost,0.6046993780234969,0.5213389121338912,0.489010989010989,0.695679012345679,0.6295276372657326
Kyrgyz_Republic_DHS_2012,0.2,723,2894,TabPFN,0.6078092605390463,0.5402997164844067,0.5235478806907379,0.674074074074074,0.6466301335348954
Kyrgyz_Republic_DHS_2012,0.35,1265,2352,LogReg,0.5688775510204082,0.2777777777777778,0.18840579710144928,0.8678815489749431,0.6141068670929025
Kyrgyz_Republic_DHS_2012,0.35,1265,2352,LightGBM,0.5909863945578231,0.5228174603174603,0.5091787439613527,0.6552771450265755,0.6218568771802406
Kyrgyz_Republic_DHS_2012,0.35,1265,2352,XGBoost,0.6041666666666666,0.515860634425377,0.4792270531400966,0.7023538344722855,0.6264112185871125
Kyrgyz_Republic_DHS_2012,0.35,1265,2352,TabPFN,0.6007653061224489,0.5353785254824345,0.5227053140096618,0.6621108580106302,0.6481133009804892
Kyrgyz_Republic_DHS_2012,0.5,1808,1809,LogReg,0.5704809286898839,0.33872340425531916,0.25,0.8223099703849951,0.6052349605877363
Kyrgyz_Republic_DHS_2012,0.5,1808,1809,LightGBM,0.6019900497512438,0.5269382391590013,0.5037688442211056,0.6791707798617966,0.6260200310535897
