country,shot,n_shot,n_test,model,accuracy,f1,sensitivity,specificity,auc
Liberia_DHS_2019_2020,0.01,21,2133,LogReg,0.7112048757618378,0.8312328767123288,1.0,0.0,0.5017036358499773
Liberia_DHS_2019_2020,0.01,21,2133,LightGBM,0.7112048757618378,0.8312328767123288,1.0,0.0,0.5
Liberia_DHS_2019_2020,0.01,21,2133,XGBoost,0.6994842944210032,0.8194874683187835,0.9591298615688859,0.060064935064935064,0.5365008261349725
Liberia_DHS_2019_2020,0.01,21,2133,TabPFN,0.7022972339428035,0.8206721265179328,0.957811470006592,0.07305194805194805,0.5318158275475349
Liberia_DHS_2019_2020,0.02,43,2111,LogReg,0.7110374230222644,0.8311184939091916,1.0,0.0,0.5026266641910857
Liberia_DHS_2019_2020,0.02,43,2111,LightGBM,0.7209853150165798,0.8357959297463061,0.9986675549633578,0.03770491803278689,0.5921948209390461
Liberia_DHS_2019_2020,0.02,43,2111,XGBoost,0.6982472761724301,0.8176352705410822,0.9513657561625583,0.07540983606557378,0.5379954347374974
Liberia_DHS_2019_2020,0.02,43,2111,TabPFN,0.7105637138796779,0.830607152758525,0.9980013324450366,0.003278688524590164,0.5269350487653041
Liberia_DHS_2019_2020,0.05,107,2047,LogReg,0.7112848070346849,0.8312874678846702,1.0,0.0,0.5042336048046707
Liberia_DHS_2019_2020,0.05,107,2047,LightGBM,0.6692721055202736,0.786367939413064,0.8557692307692307,0.2098138747884941,0.5561176344805787
Liberia_DHS_2019_2020,0.05,107,2047,XGBoost,0.7112848070346849,0.823739934387116,0.948489010989011,0.12690355329949238,0.5765116862832599
Liberia_DHS_2019_2020,0.05,107,2047,TabPFN,0.7117733268197362,0.8314285714285714,0.9993131868131868,0.00338409475465313,0.5690787638757182
Liberia_DHS_2019_2020,0.1,215,1939,LogReg,0.7111913357400722,0.8312236286919831,1.0,0.0,0.5055449083186574
Liberia_DHS_2019_2020,0.1,215,1939,LightGBM,0.6699329551315111,0.787657597876576,0.860768672951414,0.2,0.5773205221174764
Liberia_DHS_2019_2020,0.1,215,1939,XGBoost,0.701392470345539,0.8185521780006267,0.9470630891950689,0.09642857142857143,0.585802341241065
Liberia_DHS_2019_2020,0.1,215,1939,TabPFN,0.7122227952552862,0.831623415811708,0.9992748368382887,0.005357142857142857,0.5922038485444939
Liberia_DHS_2019_2020,0.2,430,1724,LogReg,0.7111368909512761,0.8311864406779661,1.0,0.0,0.5206355601852761
Liberia_DHS_2019_2020,0.2,430,1724,LightGBM,0.6879350348027842,0.8039358600583091,0.899673735725938,0.16666666666666666,0.5689642747171393
Liberia_DHS_2019_2020,0.2,430,1724,XGBoost,0.7122969837587007,0.828847481021394,0.9796084828711256,0.05421686746987952,0.5842759291652745
Liberia_DHS_2019_2020,0.2,430,1724,TabPFN,0.7111368909512761,0.8310719131614654,0.9991843393148451,0.002008032128514056,0.5796538519493962
Liberia_DHS_2019_2020,0.35,753,1401,LogReg,0.7109207708779444,0.8310387984981227,1.0,0.0,0.5431181516188209
Liberia_DHS_2019_2020,0.35,753,1401,LightGBM,0.6780870806566738,0.7969383160738406,0.8885542168674698,0.16049382716049382,0.5648891863751302
Liberia_DHS_2019_2020,0.35,753,1401,XGBoost,0.7137758743754461,0.8278231000429369,0.9678714859437751,0.08888888888888889,0.5844588229461054
Liberia_DHS_2019_2020,0.35,753,1401,TabPFN,0.7137758743754461,0.8308730493462674,0.9889558232931727,0.037037037037037035,0.6235249640537459
Liberia_DHS_2019_2020,0.5,1077,1077,LogReg,0.7112349117920148,0.8312533912099838,1.0,0.0,0.5462753855582514
Liberia_DHS_2019_2020,0.5,1077,1077,LightGBM,0.6908077994428969,0.8069565217391305,0.9086161879895561,0.15434083601286175,0.5646780787991235
Liberia_DHS_2019_2020,0.5,1077,1077,XGBoost,0.7195914577530177,0.8314732142857143,0.9725848563968669,0.09646302250803858,0.5861555833536223
Liberia_DHS_2019_2020,0.5,1077,1077,TabPFN,0.7205199628597957,0.8336097291321172,0.9843342036553525,0.0707395498392283,0.6151091820372251
Liberia_DHS_2019_2020,0.7,1507,647,LogReg,0.7109737248840804,0.8310749774164409,1.0,0.0,0.5402580795163916
Liberia_DHS_2019_2020,0.7,1507,647,LightGBM,0.6970633693972179,0.8126195028680688,0.9239130434782609,0.13903743315508021,0.5700534759358289
Liberia_DHS_2019_2020,0.7,1507,647,XGBoost,0.7109737248840804,0.826046511627907,0.9652173913043478,0.0855614973262032,0.5800162752848175
Liberia_DHS_2019_2020,0.7,1507,647,TabPFN,0.723338485316847,0.8341056533827618,0.9782608695652174,0.0962566844919786,0.611677516856545
Liberia_DHS_2019_2020,0.9,1938,216,LogReg,0.7129629629629629,0.8324324324324325,1.0,0.0,0.5130917469627148
Liberia_DHS_2019_2020,0.9,1938,216,LightGBM,0.7129629629629629,0.8238636363636364,0.9415584415584416,0.14516129032258066,0.5294302471721827
Liberia_DHS_2019_2020,0.9,1938,216,XGBoost,0.7268518518518519,0.8356545961002786,0.974025974025974,0.11290322580645161,0.547130289065773
Liberia_DHS_2019_2020,0.9,1938,216,TabPFN,0.7175925925925926,0.8319559228650137,0.9805194805194806,0.06451612903225806,0.5744134897360704
