country,shot,n_shot,n_test,model,accuracy,f1,sensitivity,specificity,auc
Rwanda_DHS_2019_2020,0.01,34,3402,LogReg,0.6340388007054674,0.0,0.0,1.0,0.49895939809306766
Rwanda_DHS_2019_2020,0.01,34,3402,LightGBM,0.6340388007054674,0.0,0.0,1.0,0.5
Rwanda_DHS_2019_2020,0.01,34,3402,XGBoost,0.6466784244562023,0.3178206583427923,0.2248995983935743,0.8901251738525731,0.5859402375380055
Rwanda_DHS_2019_2020,0.01,34,3402,TabPFN,0.5864197530864198,0.3166585721223895,0.26184738955823295,0.7737598516458044,0.5330966890277848
Rwanda_DHS_2019_2020,0.02,68,3368,LogReg,0.6342042755344418,0.0,0.0,1.0,0.5205133700569093
Rwanda_DHS_2019_2020,0.02,68,3368,LightGBM,0.5914489311163895,0.4513556618819777,0.4594155844155844,0.6676029962546817,0.5914616165669536
Rwanda_DHS_2019_2020,0.02,68,3368,XGBoost,0.6306413301662708,0.39903381642512076,0.3352272727272727,0.8010299625468165,0.6130146772702953
Rwanda_DHS_2019_2020,0.02,68,3368,TabPFN,0.6466745843230404,0.45958219800181654,0.4107142857142857,0.7827715355805244,0.6441119157060169
Rwanda_DHS_2019_2020,0.05,171,3265,LogReg,0.6343032159264931,0.0,0.0,1.0,0.5226983945965138
Rwanda_DHS_2019_2020,0.05,171,3265,LightGBM,0.6125574272588055,0.39790575916230364,0.3500837520938023,0.7638821825205215,0.582171075884816
Rwanda_DHS_2019_2020,0.05,171,3265,XGBoost,0.6171516079632465,0.3400211193241816,0.2696817420435511,0.8174794785127958,0.5950297115708916
Rwanda_DHS_2019_2020,0.05,171,3265,TabPFN,0.6444104134762634,0.3182618907809748,0.2269681742043551,0.8850796716562047,0.6378753173561353
Rwanda_DHS_2019_2020,0.1,343,3093,LogReg,0.6340122858066602,0.0,0.0,1.0,0.5368420957793583
Rwanda_DHS_2019_2020,0.1,343,3093,LightGBM,0.6288393145813126,0.3760869565217391,0.30565371024734983,0.8154003059663437,0.5967123033427454
Rwanda_DHS_2019_2020,0.1,343,3093,XGBoost,0.6479146459747818,0.3331292100428659,0.24028268551236748,0.8832228454869965,0.6078053852238798
Rwanda_DHS_2019_2020,0.1,343,3093,TabPFN,0.6614936954413191,0.3240800516462234,0.22173144876325088,0.9153493115757266,0.6500106763874348
Rwanda_DHS_2019_2020,0.2,687,2749,LogReg,0.6340487449981812,0.0,0.0,1.0,0.6021284798381256
Rwanda_DHS_2019_2020,0.2,687,2749,LightGBM,0.6395052746453256,0.4083582089552239,0.3399602385685885,0.8123924268502581,0.6138550224755883
Rwanda_DHS_2019_2020,0.2,687,2749,XGBoost,0.6507821025827574,0.36,0.268389662027833,0.8714859437751004,0.6230574099864383
Rwanda_DHS_2019_2020,0.2,687,2749,TabPFN,0.6667879228810476,0.3877005347593583,0.2882703777335984,0.8852553069420539,0.6625114488057313
Rwanda_DHS_2019_2020,0.35,1202,2234,LogReg,0.6338406445837064,0.0024390243902439024,0.0012239902080783353,0.9985885673959068,0.618592730862952
Rwanda_DHS_2019_2020,0.35,1202,2234,LightGBM,0.6383169203222918,0.41364296081277213,0.3488372093023256,0.8052223006351447,0.6100619423696692
Rwanda_DHS_2019_2020,0.35,1202,2234,XGBoost,0.6504028648164727,0.36140637775960754,0.27050183598531213,0.8694424841213833,0.6304862532165374
Rwanda_DHS_2019_2020,0.35,1202,2234,TabPFN,0.6651745747538048,0.3724832214765101,0.2717258261933905,0.8920254057868737,0.6647618660970261
Rwanda_DHS_2019_2020,0.5,1718,1718,LogReg,0.6338766006984866,0.009448818897637795,0.004777070063694267,0.9963302752293578,0.6396116987085841
Rwanda_DHS_2019_2020,0.5,1718,1718,LightGBM,0.640279394644936,0.4114285714285714,0.34394904458598724,0.8110091743119267,0.6395810202769824
Rwanda_DHS_2019_2020,0.5,1718,1718,XGBoost,0.6571594877764843,0.3793466807165437,0.28662420382165604,0.8706422018348624,0.6401858236428446
Rwanda_DHS_2019_2020,0.5,1718,1718,TabPFN,0.6653084982537835,0.3863393810032017,0.28821656050955413,0.8825688073394495,0.6749211126044528
Rwanda_DHS_2019_2020,0.7,2405,1031,LogReg,0.635305528612997,0.04568527918781726,0.023872679045092837,0.9877675840978594,0.6294259362908524
Rwanda_DHS_2019_2020,0.7,2405,1031,LightGBM,0.6556741028128031,0.4530046224961479,0.38992042440318303,0.808868501529052,0.6432522976338224
Rwanda_DHS_2019_2020,0.7,2405,1031,XGBoost,0.6595538312318138,0.3958691910499139,0.3050397877984085,0.863914373088685,0.6478191743930433
Rwanda_DHS_2019_2020,0.7,2405,1031,TabPFN,0.6711930164888458,0.4165232358003442,0.3209549071618037,0.8730886850152905,0.6595669173176292
Rwanda_DHS_2019_2020,0.9,3092,344,LogReg,0.6395348837209303,0.08823529411764706,0.047619047619047616,0.981651376146789,0.6501019367991845
Rwanda_DHS_2019_2020,0.9,3092,344,LightGBM,0.6686046511627907,0.4519230769230769,0.373015873015873,0.8394495412844036,0.669542740643658
Rwanda_DHS_2019_2020,0.9,3092,344,XGBoost,0.6453488372093024,0.34408602150537637,0.25396825396825395,0.8715596330275229,0.6612057667103538
Rwanda_DHS_2019_2020,0.9,3092,344,TabPFN,0.6802325581395349,0.42105263157894735,0.31746031746031744,0.8899082568807339,0.6776794815785642
